date,open,high,low,close,volume
2008-01-16,265.8,285.63,285.63,285.63,3455600
2008-01-17,286.28,282.9,282.9,282.9,4209500
2008-01-18,283.04,288.03,288.03,288.03,3230700
2008-01-21,288.08,284.49,284.49,284.49,2120800
2008-01-22,284.96,279.3,279.3,279.3,2767400
2008-01-23,279.62,271.68,271.68,271.68,3690400
2008-01-24,271.71,270.36,270.36,270.36,3919500
2008-01-25,271.2,271.76,271.76,271.76,3088900
2008-01-28,271.76,271.76,271.76,271.76,2775300
2008-01-29,271.21,278.6,278.6,278.6,4482300
2008-01-30,278.83,296.67,296.67,296.67,6453100
2008-01-31,300.36,294.13,294.13,294.13,4858900
2008-02-01,294.25,298.2,298.2,298.2,6028000
2008-02-12,298.2,290.11,290.11,290.11,2775100
2008-02-13,290.23,283.91,283.91,283.91,3228200
2008-02-14,284.1,285.22,285.22,285.22,3447400
2008-02-15,285.26,282.08,282.08,282.08,2604500
2008-02-18,282.22,269.7,269.7,269.7,4419900
2008-02-19,269.68,268.19,268.19,268.19,4118500
2008-02-20,268.53,257.17,257.17,257.17,4113700
2008-02-21,257.22,237.89,237.89,237.89,4428400
2008-02-22,237.89,239.02,239.02,239.02,7075700
2008-02-25,238.51,246.84,246.84,246.84,4664300
2008-02-26,246.84,229.56,229.56,229.56,4345500
2008-02-27,229.67,232.33,232.33,232.33,4222600
2008-02-28,232.59,232.38,232.38,232.38,3268500
2008-02-29,232.52,228.24,228.24,228.24,3802700
2008-03-03,229.61,214.22,214.22,214.22,4772200
2008-03-04,214.22,199.04,199.04,199.04,5083800
2008-03-05,196.76,191.38,191.38,191.38,7262000
2008-03-06,194.38,206.49,206.49,206.49,2067300
2008-03-07,215,225.55,225.55,225.55,2585100
2008-03-10,236.72,233.11,233.11,233.11,12919800
2008-03-11,233.34,219.49,219.49,219.49,5953800
2008-03-12,219.49,225.41,225.41,225.41,5514400
2008-03-13,225.41,227.51,227.51,227.51,3462000
2008-03-14,227.66,224.69,224.69,224.69,3414600
2008-03-17,224.69,210.16,210.16,210.16,5196100
2008-03-18,210.3,195.8,195.8,195.8,7505300
2008-03-19,195.08,197.78,197.78,197.78,5491600
